date,broker,accountNo,lots,tradeId,symbol
2026-02-04,XM,70809010,6.27,XM-20260204-70809010-0040,GBPJPY
2026-02-05,XM,11223344,5.17,XM-20260205-11223344-0041,AUDUSD
2026-02-05,XM,10111213,7.13,XM-20260205-10111213-0042,XAUUSD
2026-02-05,XM,10111213,3.47,XM-20260205-10111213-0043,USDCAD
2026-02-05,XM,30405060,1.41,XM-20260205-30405060-0044,GBPJPY
2026-02-05,XM,30405060,5.28,XM-20260205-30405060-0045,AUDUSD
2026-02-05,XM,50607080,6.64,XM-20260205-50607080-0046,GBPUSD
2026-02-05,XM,50607080,5.38,XM-20260205-50607080-0047,XAUUSD
2026-02-05,XM,50607080,9.42,XM-20260205-50607080-0048,GBPUSD
2026-02-05,XM,70809010,3.78,XM-20260205-70809010-0049,NZDUSD
2026-02-05,XM,70809010,3.01,XM-20260205-70809010-0050,GBPUSD
2026-02-06,XM,11223344,7.31,XM-20260206-11223344-0051,EURJPY
2026-02-06,XM,11223344,9.99,XM-20260206-11223344-0052,EURUSD
2026-02-06,XM,11223344,0.19,XM-20260206-11223344-0053,USDCHF
2026-02-06,XM,10111213,3.81,XM-20260206-10111213-0054,NZDUSD
2026-02-06,XM,10111213,6.10,XM-20260206-10111213-0055,NZDUSD
2026-02-06,XM,10111213,1.26,XM-20260206-10111213-0056,NZDUSD
2026-02-06,XM,30405060,0.59,XM-20260206-30405060-0057,GBPUSD
2026-02-06,XM,30405060,1.70,XM-20260206-30405060-0058,EURUSD
2026-02-06,XM,50607080,4.45,XM-20260206-50607080-0059,GBPUSD
2026-02-06,XM,70809010,3.80,XM-20260206-70809010-0060,EURJPY
2026-02-06,XM,70809010,2.54,XM-20260206-70809010-0061,GBPJPY
2026-02-06,XM,70809010,6.29,XM-20260206-70809010-0062,AUDUSD
2026-02-09,XM,11223344,7.70,XM-20260209-11223344-0063,GBPUSD
2026-02-09,XM,11223344,1.42,XM-20260209-11223344-0064,AUDUSD
2026-02-09,XM,11223344,5.92,XM-20260209-11223344-0065,EURUSD
2026-02-09,XM,10111213,0.21,XM-20260209-10111213-0066,GBPJPY
2026-02-09,XM,10111213,1.59,XM-20260209-10111213-0067,USDCHF
2026-02-09,XM,10111213,6.98,XM-20260209-10111213-0068,EURUSD
2026-02-09,XM,10111213,3.74,XM-20260209-10111213-0069,NZDUSD
2026-02-09,XM,30405060,8.66,XM-20260209-30405060-0070,EURUSD
2026-02-09,XM,50607080,4.60,XM-20260209-50607080-0071,USDCAD
2026-02-09,XM,50607080,3.91,XM-20260209-50607080-0072,GBPJPY
2026-02-09,XM,50607080,5.34,XM-20260209-50607080-0073,EURJPY
2026-02-09,XM,70809010,9.58,XM-20260209-70809010-0074,XAUUSD
2026-02-10,XM,11223344,5.58,XM-20260210-11223344-0075,GBPJPY
2026-02-10,XM,10111213,4.61,XM-20260210-10111213-0076,USDCAD
2026-02-10,XM,30405060,4.76,XM-20260210-30405060-0077,AUDUSD
2026-02-10,XM,50607080,1.41,XM-20260210-50607080-0078,EURJPY
2026-02-10,XM,50607080,0.91,XM-20260210-50607080-0079,USDCAD
2026-02-10,XM,50607080,2.83,XM-20260210-50607080-0080,EURUSD
2026-02-10,XM,70809010,5.02,XM-20260210-70809010-0081,USDJPY
2026-02-10,XM,70809010,4.75,XM-20260210-70809010-0082,GBPJPY
2026-02-10,XM,70809010,9.83,XM-20260210-70809010-0083,EURJPY
2026-02-10,XM,70809010,7.26,XM-20260210-70809010-0084,AUDUSD
2026-02-11,XM,11223344,1.06,XM-20260211-11223344-0085,GBPUSD
2026-02-11,XM,11223344,3.95,XM-20260211-11223344-0086,GBPUSD
2026-02-11,XM,10111213,3.77,XM-20260211-10111213-0087,AUDUSD
2026-02-11,XM,10111213,0.83,XM-20260211-10111213-0088,EURUSD
2026-02-11,XM,10111213,8.81,XM-20260211-10111213-0089,NZDUSD
2026-02-11,XM,30405060,7.92,XM-20260211-30405060-0090,EURJPY
2026-02-11,XM,30405060,0.64,XM-20260211-30405060-0091,NZDUSD
2026-02-11,XM,30405060,0.72,XM-20260211-30405060-0092,GBPUSD
2026-02-11,XM,50607080,3.00,XM-20260211-50607080-0093,USDCAD
2026-02-11,XM,50607080,3.67,XM-20260211-50607080-0094,GBPUSD
2026-02-11,XM,70809010,3.49,XM-20260211-70809010-0095,NZDUSD
2026-02-11,XM,70809010,3.75,XM-20260211-70809010-0096,EURJPY
2026-02-11,XM,70809010,8.79,XM-20260211-70809010-0097,USDCHF
2026-02-12,XM,11223344,3.30,XM-20260212-11223344-0098,USDJPY
2026-02-12,XM,10111213,4.52,XM-20260212-10111213-0099,USDJPY
2026-02-12,XM,10111213,9.64,XM-20260212-10111213-0100,USDJPY
2026-02-12,XM,10111213,6.79,XM-20260212-10111213-0101,USDJPY
2026-02-12,XM,30405060,3.97,XM-20260212-30405060-0102,USDJPY
2026-02-12,XM,30405060,0.28,XM-20260212-30405060-0103,XAUUSD
2026-02-12,XM,30405060,3.43,XM-20260212-30405060-0104,GBPJPY
2026-02-12,XM,50607080,8.37,XM-20260212-50607080-0105,GBPJPY
2026-02-12,XM,50607080,6.67,XM-20260212-50607080-0106,USDCAD
2026-02-12,XM,50607080,4.97,XM-20260212-50607080-0107,USDCAD
2026-02-12,XM,50607080,7.02,XM-20260212-50607080-0108,USDCHF
2026-02-12,XM,70809010,5.73,XM-20260212-70809010-0109,EURUSD
2026-02-12,XM,70809010,9.66,XM-20260212-70809010-0110,XAUUSD
2026-02-12,XM,70809010,7.44,XM-20260212-70809010-0111,GBPUSD
2026-02-12,XM,70809010,1.39,XM-20260212-70809010-0112,USDCAD
2026-02-13,XM,11223344,9.76,XM-20260213-11223344-0113,USDCAD
2026-02-13,XM,11223344,0.37,XM-20260213-11223344-0114,GBPJPY
2026-02-13,XM,11223344,7.16,XM-20260213-11223344-0115,EURJPY
2026-02-13,XM,10111213,9.44,XM-20260213-10111213-0116,GBPUSD
2026-02-13,XM,10111213,9.76,XM-20260213-10111213-0117,GBPUSD
2026-02-13,XM,10111213,1.27,XM-20260213-10111213-0118,NZDUSD
2026-02-13,XM,30405060,8.16,XM-20260213-30405060-0119,AUDUSD
2026-02-13,XM,30405060,9.96,XM-20260213-30405060-0120,NZDUSD
2026-02-13,XM,30405060,1.75,XM-20260213-30405060-0121,NZDUSD
2026-02-13,XM,30405060,8.78,XM-20260213-30405060-0122,USDCAD
2026-02-13,XM,50607080,2.85,XM-20260213-50607080-0123,EURJPY
2026-02-13,XM,50607080,0.48,XM-20260213-50607080-0124,AUDUSD
2026-02-13,XM,50607080,7.59,XM-20260213-50607080-0125,USDJPY
2026-02-13,XM,70809010,4.86,XM-20260213-70809010-0126,GBPUSD
2026-02-13,XM,70809010,3.63,XM-20260213-70809010-0127,GBPUSD
2026-02-13,XM,70809010,9.27,XM-20260213-70809010-0128,NZDUSD
2026-02-16,XM,11223344,4.23,XM-20260216-11223344-0129,EURUSD
2026-02-16,XM,11223344,0.90,XM-20260216-11223344-0130,EURUSD
2026-02-16,XM,10111213,3.93,XM-20260216-10111213-0131,XAUUSD
2026-02-16,XM,30405060,6.37,XM-20260216-30405060-0132,USDCHF
2026-02-16,XM,50607080,9.70,XM-20260216-50607080-0133,NZDUSD
2026-02-16,XM,50607080,4.09,XM-20260216-50607080-0134,USDJPY
2026-02-16,XM,50607080,6.57,XM-20260216-50607080-0135,USDJPY
2026-02-16,XM,70809010,8.02,XM-20260216-70809010-0136,EURUSD
2026-02-17,XM,11223344,8.43,XM-20260217-11223344-0137,USDJPY
2026-02-17,XM,10111213,4.81,XM-20260217-10111213-0138,NZDUSD
2026-02-17,XM,10111213,2.92,XM-20260217-10111213-0139,AUDUSD
2026-02-17,XM,10111213,5.36,XM-20260217-10111213-0140,USDJPY
2026-02-17,XM,10111213,1.17,XM-20260217-10111213-0141,USDCHF
2026-02-17,XM,30405060,0.17,XM-20260217-30405060-0142,EURUSD
2026-02-17,XM,30405060,9.36,XM-20260217-30405060-0143,EURJPY
2026-02-17,XM,30405060,2.79,XM-20260217-30405060-0144,USDCAD
2026-02-17,XM,50607080,5.34,XM-20260217-50607080-0145,NZDUSD
2026-02-17,XM,70809010,4.43,XM-20260217-70809010-0146,USDJPY
2026-02-18,XM,11223344,1.11,XM-20260218-11223344-0147,XAUUSD
2026-02-18,XM,10111213,5.12,XM-20260218-10111213-0148,USDCAD
2026-02-18,XM,10111213,5.97,XM-20260218-10111213-0149,EURJPY
2026-02-18,XM,10111213,5.35,XM-20260218-10111213-0150,NZDUSD
2026-02-18,XM,30405060,4.36,XM-20260218-30405060-0151,GBPUSD
2026-02-18,XM,30405060,2.58,XM-20260218-30405060-0152,USDCAD
2026-02-18,XM,30405060,6.75,XM-20260218-30405060-0153,GBPUSD
2026-02-18,XM,50607080,1.37,XM-20260218-50607080-0154,USDCHF
2026-02-18,XM,50607080,6.26,XM-20260218-50607080-0155,AUDUSD
2026-02-18,XM,50607080,8.06,XM-20260218-50607080-0156,GBPUSD
2026-02-18,XM,50607080,1.79,XM-20260218-50607080-0157,GBPJPY
2026-02-18,XM,70809010,1.05,XM-20260218-70809010-0158,USDCHF
2026-02-19,XM,11223344,9.20,XM-20260219-11223344-0159,AUDUSD
2026-02-19,XM,11223344,3.69,XM-20260219-11223344-0160,GBPJPY
2026-02-19,XM,10111213,7.55,XM-20260219-10111213-0161,EURJPY
2026-02-19,XM,10111213,4.52,XM-20260219-10111213-0162,USDCAD
2026-02-19,XM,10111213,8.39,XM-20260219-10111213-0163,EURUSD
2026-02-19,XM,30405060,3.66,XM-20260219-30405060-0164,AUDUSD
2026-02-19,XM,50607080,9.70,XM-20260219-50607080-0165,GBPJPY
2026-02-19,XM,50607080,2.16,XM-20260219-50607080-0166,GBPJPY
2026-02-19,XM,50607080,2.35,XM-20260219-50607080-0167,GBPUSD
2026-02-19,XM,70809010,8.61,XM-20260219-70809010-0168,EURJPY
2026-02-20,XM,11223344,6.84,XM-20260220-11223344-0169,USDJPY
2026-02-20,XM,11223344,5.43,XM-20260220-11223344-0170,AUDUSD
2026-02-20,XM,11223344,4.59,XM-20260220-11223344-0171,AUDUSD
2026-02-20,XM,11223344,3.40,XM-20260220-11223344-0172,EURJPY
2026-02-20,XM,10111213,9.35,XM-20260220-10111213-0173,GBPUSD
2026-02-20,XM,10111213,8.23,XM-20260220-10111213-0174,USDCHF
2026-02-20,XM,30405060,7.10,XM-20260220-30405060-0175,GBPUSD
2026-02-20,XM,50607080,0.88,XM-20260220-50607080-0176,USDCAD
2026-02-20,XM,50607080,0.70,XM-20260220-50607080-0177,EURUSD
2026-02-20,XM,50607080,7.04,XM-20260220-50607080-0178,NZDUSD
2026-02-20,XM,70809010,4.29,XM-20260220-70809010-0179,NZDUSD
2026-02-20,XM,70809010,9.46,XM-20260220-70809010-0180,GBPUSD
2026-02-20,XM,70809010,4.72,XM-20260220-70809010-0181,USDCAD
2026-02-23,XM,11223344,9.54,XM-20260223-11223344-0182,USDCAD
2026-02-23,XM,11223344,4.99,XM-20260223-11223344-0183,AUDUSD
2026-02-23,XM,11223344,1.71,XM-20260223-11223344-0184,USDJPY
2026-02-23,XM,10111213,4.00,XM-20260223-10111213-0185,USDJPY
2026-02-23,XM,10111213,4.74,XM-20260223-10111213-0186,USDCAD
2026-02-23,XM,30405060,4.37,XM-20260223-30405060-0187,GBPJPY
2026-02-23,XM,30405060,6.86,XM-20260223-30405060-0188,EURJPY
2026-02-23,XM,50607080,2.88,XM-20260223-50607080-0189,XAUUSD
2026-02-23,XM,50607080,6.13,XM-20260223-50607080-0190,USDCAD
2026-02-23,XM,70809010,1.53,XM-20260223-70809010-0191,XAUUSD
2026-02-23,XM,70809010,4.67,XM-20260223-70809010-0192,EURJPY
2026-02-24,XM,11223344,3.96,XM-20260224-11223344-0193,EURJPY
2026-02-24,XM,10111213,9.80,XM-20260224-10111213-0194,AUDUSD
2026-02-24,XM,10111213,6.98,XM-20260224-10111213-0195,AUDUSD
2026-02-24,XM,30405060,7.03,XM-20260224-30405060-0196,USDCAD
2026-02-24,XM,30405060,3.75,XM-20260224-30405060-0197,EURUSD
2026-02-24,XM,30405060,8.56,XM-20260224-30405060-0198,GBPJPY
2026-02-24,XM,50607080,5.18,XM-20260224-50607080-0199,GBPUSD
2026-02-24,XM,50607080,9.21,XM-20260224-50607080-0200,AUDUSD
2026-02-24,XM,50607080,9.28,XM-20260224-50607080-0201,NZDUSD
2026-02-24,XM,50607080,2.97,XM-20260224-50607080-0202,XAUUSD
2026-02-24,XM,70809010,1.75,XM-20260224-70809010-0203,USDCAD
2026-02-24,XM,70809010,0.51,XM-20260224-70809010-0204,AUDUSD
2026-02-25,XM,11223344,4.16,XM-20260225-11223344-0205,GBPUSD
2026-02-25,XM,11223344,7.61,XM-20260225-11223344-0206,EURJPY
2026-02-25,XM,11223344,5.97,XM-20260225-11223344-0207,GBPUSD
2026-02-25,XM,10111213,6.82,XM-20260225-10111213-0208,EURJPY
2026-02-25,XM,30405060,7.60,XM-20260225-30405060-0209,GBPJPY
2026-02-25,XM,30405060,2.03,XM-20260225-30405060-0210,GBPJPY
2026-02-25,XM,50607080,4.89,XM-20260225-50607080-0211,EURUSD
2026-02-25,XM,70809010,2.27,XM-20260225-70809010-0212,USDJPY
2026-02-25,XM,70809010,3.71,XM-20260225-70809010-0213,GBPUSD
2026-02-25,XM,70809010,9.26,XM-20260225-70809010-0214,EURJPY
2026-02-25,XM,70809010,4.28,XM-20260225-70809010-0215,EURUSD
2026-02-26,XM,11223344,5.34,XM-20260226-11223344-0216,USDCAD
2026-02-26,XM,11223344,3.00,XM-20260226-11223344-0217,GBPJPY
2026-02-26,XM,11223344,6.43,XM-20260226-11223344-0218,NZDUSD
2026-02-26,XM,11223344,4.21,XM-20260226-11223344-0219,GBPJPY
2026-02-26,XM,10111213,8.84,XM-20260226-10111213-0220,EURJPY
2026-02-26,XM,10111213,0.47,XM-20260226-10111213-0221,USDJPY
2026-02-26,XM,10111213,9.16,XM-20260226-10111213-0222,GBPUSD
2026-02-26,XM,30405060,4.88,XM-20260226-30405060-0223,GBPUSD
2026-02-26,XM,30405060,0.87,XM-20260226-30405060-0224,EURJPY
2026-02-26,XM,50607080,7.99,XM-20260226-50607080-0225,XAUUSD
2026-02-26,XM,50607080,4.94,XM-20260226-50607080-0226,GBPUSD
2026-02-26,XM,70809010,9.54,XM-20260226-70809010-0227,NZDUSD
2026-02-26,XM,70809010,9.69,XM-20260226-70809010-0228,EURUSD
2026-02-27,XM,11223344,1.90,XM-20260227-11223344-0229,AUDUSD
2026-02-27,XM,11223344,4.15,XM-20260227-11223344-0230,XAUUSD
2026-02-27,XM,11223344,6.08,XM-20260227-11223344-0231,EURUSD
2026-02-27,XM,11223344,5.63,XM-20260227-11223344-0232,GBPJPY
2026-02-27,XM,10111213,1.89,XM-20260227-10111213-0233,GBPUSD
2026-02-27,XM,10111213,8.66,XM-20260227-10111213-0234,GBPJPY
2026-02-27,XM,10111213,4.59,XM-20260227-10111213-0235,USDJPY
2026-02-27,XM,10111213,6.71,XM-20260227-10111213-0236,AUDUSD
2026-02-27,XM,30405060,5.44,XM-20260227-30405060-0237,AUDUSD
2026-02-27,XM,50607080,2.91,XM-20260227-50607080-0238,AUDUSD
2026-02-27,XM,50607080,1.47,XM-20260227-50607080-0239,EURJPY
2026-02-27,XM,70809010,9.38,XM-20260227-70809010-0240,NZDUSD
